33,2852
582,1688
324,1585
275,3880
68,3456
270,3664
52,4134
308,1552
324,1121
267,2628
290,4063
20,285
14,3094
586,150
74,3090
270,2736
15,3788
261,1412
29,1865
294,2373
256,723
33,1551
375,433
365,1359
46,1908
656,1624
287,3017
652,2630
1,2513
372,4208
60,1397
10,3965
266,727
412,116
297,1874
661,2196
345,3278
17,4599
13,4275
638,80
6,3067
6,3058
622,4328
54,426
294,1292
624,3562
338,3602
300,2489
382,1185
607,4357
299,3713
275,2993
270,3140
593,1179
287,3632
294,800
293,353
328,1006
329,1432
45,3824
261,141
353,2564
1,2661
391,2438
10,1654
396,3813
612,2708
652,4285
392,4035
609,2874
624,3054
32,4073
648,2060
345,967
46,4310
294,784
275,2995
625,966
406,2886
294,4576
376,4356
371,1971
63,2694
406,1693
342,3414
600,3456
582,4506
294,823
299,828
399,1690
401,2200
286,62
15,3058
607,1264
342,3343
656,867
74,4166
74,2671
642,2808
332,1044
30,2808
619,3535
582,1335
630,1833
310,4421
602,3339
393,2024
290,4137
60,4105
368,2763
33,2190
375,2512
340,4202
661,2515
349,3341
280,2479
348,4462
348,4288
47,3421
623,1228
302,2527
80,681
39,4176
50,1470
639,4400
47,3823
394,2164
78,1324
356,2482
342,2584
617,3780
266,2909
349,2989
329,979
22,980
302,1144
368,2621
80,1577
280,1980
70,3708
310,800
601,3280
28,3821
55,1687
310,3390
13,3817
280,222
375,148
629,2368
406,4565
346,652
292,1410
642,3100
69,1188
15,3496
269,4102
387,3386
642,531
660,4454
266,42
633,1977
383,4072
355,3708
255,3987
287,211
582,34
333,1508
256,214
412,727
28,399
267,80
387,2842
598,4099
401,3854
626,2950
280,437
603,648
625,288
656,3714
1,2150
74,542
28,2888
23,2370
1,1732
339,3338
640,2158
349,2778
79,367
641,3850
341,1880
270,1902
16,4274
600,3644
309,3846
259,2878
352,4424
612,1760
266,2444
629,425
275,2456
602,938
80,2488
382,907
10,187
352,2703
302,4288
634,860
593,4181
330,1034
253,857
69,2872
69,111



fold along y=2303
fold along y=1151
fold along y=575
fold along y=287
fold along x=331
fold along y=143
fold along x=165
fold along y=71
fold along y=35
fold along y=17
